2017-12-18-1-57-7    UserID [2]    Transaction Complete 
2017-12-18-1-57-7    UserID [4]    Transaction Complete 
2017-12-18-1-57-7    UserID [0]    Transaction Complete 
2017-12-18-1-57-7    UserID [32]    Transaction Complete 
2017-12-18-1-57-7    UserID [16]    Transaction Complete 
2017-12-18-1-57-7    UserID [14]    Transaction Complete 
2017-12-18-1-57-7    UserID [41]    Transaction Complete 
2017-12-18-1-57-7    UserID [30]    Transaction Complete 
2017-12-18-1-57-7    UserID [15]    Transaction Complete 
2017-12-18-1-57-7    UserID [31]    Transaction Complete 
2017-12-18-1-57-7    UserID [12]    Transaction Complete 
2017-12-18-1-57-7    UserID [46]    Transaction Complete 
2017-12-18-1-57-7    UserID [21]    Transaction Complete 
2017-12-18-1-57-7    UserID [45]    Transaction Complete 
2017-12-18-1-57-7    UserID [19]    Transaction Complete 
2017-12-18-1-57-7    UserID [43]    Transaction Complete 
2017-12-18-1-57-7    UserID [25]    Transaction Complete 
2017-12-18-1-57-7    UserID [6]    Transaction Complete 
2017-12-18-1-57-7    UserID [24]    Transaction Complete 
2017-12-18-1-57-7    UserID [17]    Transaction Complete 
2017-12-18-1-57-7    UserID [49]    Transaction Complete 
2017-12-18-1-57-7    UserID [13]    Transaction Complete 
2017-12-18-1-57-7    UserID [11]    Transaction Complete 
2017-12-18-1-57-7    UserID [5]    Transaction Complete 
2017-12-18-1-57-7    UserID [29]    Transaction Complete 
2017-12-18-1-57-7    UserID [3]    Transaction Complete 
2017-12-18-1-57-7    UserID [7]    Transaction Complete 
2017-12-18-1-57-7    UserID [18]    Transaction Complete 
2017-12-18-1-57-7    UserID [35]    Transaction Complete 
2017-12-18-1-57-7    UserID [20]    Transaction Complete 
2017-12-18-1-57-7    UserID [44]    Transaction Complete 
2017-12-18-1-57-7    UserID [23]    Transaction Complete 
2017-12-18-1-57-7    UserID [47]    Transaction Complete 
2017-12-18-1-57-7    UserID [26]    Transaction Complete 
2017-12-18-1-57-7    UserID [22]    Transaction Complete 
2017-12-18-1-57-7    UserID [36]    Transaction Complete 
2017-12-18-1-57-7    UserID [48]    Transaction Complete 
2017-12-18-1-57-7    UserID [42]    Transaction Complete 
2017-12-18-1-57-7    UserID [39]    Transaction Complete 
2017-12-18-1-57-7    UserID [9]    Transaction Complete 
2017-12-18-1-57-7    UserID [38]    Transaction Complete 
2017-12-18-1-57-7    UserID [10]    Transaction Complete 
2017-12-18-1-57-7    UserID [40]    Transaction Complete 
2017-12-18-1-57-7    UserID [27]    Transaction Complete 
2017-12-18-1-57-7    UserID [33]    Transaction Complete 
2017-12-18-1-57-7    UserID [1]    Transaction Complete 
2017-12-18-1-57-7    UserID [34]    Transaction Complete 
2017-12-18-1-57-7    UserID [8]    Transaction Complete 
2017-12-18-1-57-7    UserID [28]    Transaction Complete 
2017-12-18-1-57-7    UserID [37]    Transaction Complete 
2017-12-18-1-57-8    UserID [16]    Transaction Complete 
2017-12-18-1-57-8    UserID [0]    Transaction Complete 
2017-12-18-1-57-8    UserID [2]    Transaction Complete 
2017-12-18-1-57-8    UserID [12]    Transaction Complete 
2017-12-18-1-57-8    UserID [4]    Transaction Complete 
2017-12-18-1-57-8    UserID [43]    Transaction Complete 
2017-12-18-1-57-8    UserID [46]    Transaction Complete 
2017-12-18-1-57-8    UserID [45]    Transaction Complete 
2017-12-18-1-57-8    UserID [21]    Transaction Complete 
2017-12-18-1-57-8    UserID [30]    Transaction Complete 
2017-12-18-1-57-8    UserID [14]    Transaction Complete 
2017-12-18-1-57-8    UserID [35]    Transaction Complete 
2017-12-18-1-57-8    UserID [19]    Transaction Complete 
2017-12-18-1-57-8    UserID [36]    Transaction Complete 
2017-12-18-1-57-8    UserID [25]    Transaction Complete 
2017-12-18-1-57-8    UserID [9]    Transaction Complete 
2017-12-18-1-57-8    UserID [40]    Transaction Complete 
2017-12-18-1-57-8    UserID [3]    Transaction Complete 
2017-12-18-1-57-8    UserID [49]    Transaction Complete 
2017-12-18-1-57-8    UserID [41]    Transaction Complete 
2017-12-18-1-57-8    UserID [23]    Transaction Complete 
2017-12-18-1-57-8    UserID [18]    Transaction Complete 
2017-12-18-1-57-8    UserID [24]    Transaction Complete 
2017-12-18-1-57-8    UserID [20]    Transaction Complete 
2017-12-18-1-57-8    UserID [27]    Transaction Complete 
2017-12-18-1-57-8    UserID [6]    Transaction Complete 
2017-12-18-1-57-8    UserID [15]    Transaction Complete 
2017-12-18-1-57-8    UserID [13]    Transaction Complete 
2017-12-18-1-57-8    UserID [38]    Transaction Complete 
2017-12-18-1-57-8    UserID [29]    Transaction Complete 
2017-12-18-1-57-8    UserID [17]    Transaction Complete 
2017-12-18-1-57-8    UserID [39]    Transaction Complete 
2017-12-18-1-57-8    UserID [5]    Transaction Complete 
2017-12-18-1-57-8    UserID [26]    Transaction Complete 
2017-12-18-1-57-8    UserID [7]    Transaction Complete 
2017-12-18-1-57-8    UserID [44]    Transaction Complete 
2017-12-18-1-57-8    UserID [33]    Transaction Complete 
2017-12-18-1-57-8    UserID [47]    Transaction Complete 
2017-12-18-1-57-8    UserID [10]    Transaction Complete 
2017-12-18-1-57-8    UserID [37]    Transaction Complete 
2017-12-18-1-57-8    UserID [22]    Transaction Complete 
2017-12-18-1-57-8    UserID [11]    Transaction Complete 
2017-12-18-1-57-8    UserID [34]    Transaction Complete 
2017-12-18-1-57-8    UserID [48]    Transaction Complete 
2017-12-18-1-57-8    UserID [31]    Transaction Complete 
2017-12-18-1-57-8    UserID [42]    Transaction Complete 
2017-12-18-1-57-8    UserID [28]    Transaction Complete 
2017-12-18-1-57-8    UserID [1]    Transaction Complete 
2017-12-18-1-57-8    UserID [8]    Transaction Complete 
2017-12-18-1-57-8    UserID [4]    Transaction Complete 
2017-12-18-1-57-8    UserID [16]    Transaction Complete 
2017-12-18-1-57-9    UserID [0]    Transaction Complete 
2017-12-18-1-57-9    UserID [12]    Transaction Complete 
2017-12-18-1-57-9    UserID [30]    Transaction Complete 
2017-12-18-1-57-9    UserID [32]    Transaction Complete 
2017-12-18-1-57-9    UserID [36]    Transaction Complete 
2017-12-18-1-57-9    UserID [35]    Transaction Complete 
2017-12-18-1-57-9    UserID [19]    Transaction Complete 
2017-12-18-1-57-9    UserID [40]    Transaction Complete 
2017-12-18-1-57-9    UserID [14]    Transaction Complete 
2017-12-18-1-57-9    UserID [21]    Transaction Complete 
2017-12-18-1-57-9    UserID [2]    Transaction Complete 
2017-12-18-1-57-9    UserID [45]    Transaction Complete 
2017-12-18-1-57-9    UserID [38]    Transaction Complete 
2017-12-18-1-57-9    UserID [29]    Transaction Complete 
2017-12-18-1-57-9    UserID [25]    Transaction Complete 
2017-12-18-1-57-9    UserID [6]    Transaction Complete 
2017-12-18-1-57-9    UserID [43]    Transaction Complete 
2017-12-18-1-57-9    UserID [24]    Transaction Complete 
2017-12-18-1-57-9    UserID [46]    Transaction Complete 
2017-12-18-1-57-9    UserID [18]    Transaction Complete 
2017-12-18-1-57-9    UserID [9]    Transaction Complete 
2017-12-18-1-57-9    UserID [15]    Transaction Complete 
2017-12-18-1-57-9    UserID [49]    Transaction Complete 
2017-12-18-1-57-9    UserID [41]    Transaction Complete 
2017-12-18-1-57-9    UserID [23]    Transaction Complete 
2017-12-18-1-57-9    UserID [20]    Transaction Complete 
2017-12-18-1-57-9    UserID [37]    Transaction Complete 
2017-12-18-1-57-9    UserID [13]    Transaction Complete 
2017-12-18-1-57-9    UserID [44]    Transaction Complete 
2017-12-18-1-57-9    UserID [5]    Transaction Complete 
2017-12-18-1-57-9    UserID [3]    Transaction Complete 
2017-12-18-1-57-9    UserID [22]    Transaction Complete 
2017-12-18-1-57-9    UserID [33]    Transaction Complete 
2017-12-18-1-57-9    UserID [27]    Transaction Complete 
2017-12-18-1-57-9    UserID [39]    Transaction Complete 
2017-12-18-1-57-9    UserID [26]    Transaction Complete 
2017-12-18-1-57-9    UserID [42]    Transaction Complete 
2017-12-18-1-57-9    UserID [17]    Transaction Complete 
2017-12-18-1-57-9    UserID [34]    Transaction Complete 
2017-12-18-1-57-9    UserID [47]    Transaction Complete 
2017-12-18-1-57-9    UserID [1]    Transaction Complete 
2017-12-18-1-57-9    UserID [28]    Transaction Complete 
2017-12-18-1-57-9    UserID [8]    Transaction Complete 
2017-12-18-1-57-9    UserID [48]    Transaction Complete 
2017-12-18-1-57-9    UserID [7]    Transaction Complete 
2017-12-18-1-57-9    UserID [31]    Transaction Complete 
2017-12-18-1-57-9    UserID [11]    Transaction Complete 
2017-12-18-1-57-10    UserID [4]    Transaction Complete 
2017-12-18-1-57-10    UserID [6]    Transaction Complete 
2017-12-18-1-57-10    UserID [12]    Transaction Complete 
2017-12-18-1-57-10    UserID [32]    Transaction Complete 
2017-12-18-1-57-10    UserID [16]    Transaction Complete 
2017-12-18-1-57-10    UserID [0]    Transaction Complete 
2017-12-18-1-57-10    UserID [14]    Transaction Complete 
2017-12-18-1-57-10    UserID [40]    Transaction Complete 
2017-12-18-1-57-10    UserID [36]    Transaction Complete 
2017-12-18-1-57-10    UserID [25]    Transaction Complete 
2017-12-18-1-57-10    UserID [29]    Transaction Complete 
2017-12-18-1-57-10    UserID [21]    Transaction Complete 
2017-12-18-1-57-10    UserID [24]    Transaction Complete 
2017-12-18-1-57-10    UserID [27]    Transaction Complete 
2017-12-18-1-57-10    UserID [30]    Transaction Complete 
2017-12-18-1-57-10    UserID [10]    Transaction Complete 
2017-12-18-1-57-10    UserID [13]    Transaction Complete 
2017-12-18-1-57-10    UserID [35]    Transaction Complete 
2017-12-18-1-57-10    UserID [2]    Transaction Complete 
2017-12-18-1-57-10    UserID [41]    Transaction Complete 
2017-12-18-1-57-10    UserID [46]    Transaction Complete 
2017-12-18-1-57-10    UserID [38]    Transaction Complete 
